model,loss,data_loss,div_loss,bc_loss,rmse_all,rmse_velocity,divergence_l2,divergence_l1,boundary_rmse,inference_seconds_per_batch,inference_seconds_per_sample,inference_batches_timed,inference_samples_timed
baseline,0.00011355846904085151,0.00011355846904085151,0.4398339646203177,0.0,0.010557714849710464,0.005945948152137654,0.6631244165556771,0.22273666518075125,0.027888091281056404,0.003932520000671502,0.0010348736843872374,5,19
pi_fno_tuned,0.0011006712780467101,0.00017591353181550012,0.04309619643858501,0.0062833805568516254,0.013258906613503183,0.014147220977715083,0.20756704679557256,0.04976824724248478,0.07926686320986066,0.0032961600001726763,0.0008674105263612306,5,19
fourier_loss_ablation,0.0012615862734881894,0.00046954342646391263,0.03829569422772953,0.0026128970286143677,0.014098503094698702,0.01640805136412382,0.19568183166640146,0.05565556138753891,0.05111151880451611,0.003175599998940015,0.0008356842102473724,5,19
